[1][CALL] from=0x57c112, to=0x450595, 0x320bd352() -> None
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x157429) -> None
  [2][CREATE] from=0x450595, to=0xfb6f88, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xFB6F88) -> None
  [2][CREATE] from=0x450595, to=0xf1a51b, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xF1A51b) -> None
  [2][CREATE] from=0x450595, to=0xdcbb5c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xdcBB5C) -> None
  [2][CREATE] from=0x450595, to=0xbfdb3c, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0xBfDB3c) -> None
  [2][CREATE] from=0x450595, to=0x2a9738, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x2a9738) -> None
  [2][CREATE] from=0x450595, to=0x118a69, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x118A69) -> None
  [2][CREATE] from=0x450595, to=0x235514, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x235514) -> None
  [2][CREATE] from=0x450595, to=0x36eefe, atInversebrahint248() -> 0x608060
  [2][CALL] from=0x450595, to=VTF, updateUserBalance(_user(address): 0x36eEfe) -> None
  [2][CREATE] from=0x450595, to=0x152333, atInversebrahint248() -> 0x608060
